13\08\1999,1.6045,1.6109,1.6157,1.6038,-0.41
16\08\1999,1.6012,1.6053,1.6107,1.5985,-0.21
17\08\1999,1.6033,1.6015,1.605,1.5952,0.13
18\08\1999,1.6015,1.6044,1.6091,1.5996,-0.11
19\08\1999,1.6175,1.6027,1.6201,1.5972,1
20\08\1999,1.6145,1.6157,1.6222,1.6124,-0.19
23\08\1999,1.6008,1.6145,1.6183,1.6,-0.85
24\08\1999,1.5947,1.6011,1.6035,1.588,-0.38
25\08\1999,1.585,1.5941,1.5952,1.5833,-0.61
26\08\1999,1.587,1.5857,1.593,1.5848,0.13
27\08\1999,1.588,1.5885,1.5912,1.584,0.06
30\08\1999,1.5903,1.5885,1.5917,1.5854,0.14
31\08\1999,1.6037,1.5912,1.6119,1.59,0.84
01\09\1999,1.6038,1.6031,1.6125,1.6018,0.01
02\09\1999,1.6078,1.6038,1.6133,1.598,0.25
03\09\1999,1.603,1.6068,1.6162,1.6012,-0.3
06\09\1999,1.6071,1.6015,1.6077,1.6004,0.26
07\09\1999,1.6037,1.6058,1.6093,1.599,-0.21
08\09\1999,1.6193,1.6045,1.6263,1.6039,0.97
09\09\1999,1.635,1.6198,1.6379,1.6188,0.97
10\09\1999,1.6187,1.6337,1.6343,1.6152,-1
13\09\1999,1.6079,1.6195,1.6233,1.606,-0.67
14\09\1999,1.608,1.6069,1.611,1.5978,0.01
15\09\1999,1.6138,1.6071,1.6159,1.5988,0.36
16\09\1999,1.6233,1.6132,1.6267,1.612,0.59
17\09\1999,1.6235,1.623,1.6265,1.6152,0.01
20\09\1999,1.6221,1.623,1.6259,1.6195,-0.09
21\09\1999,1.6325,1.622,1.6342,1.6207,0.64
22\09\1999,1.6292,1.6325,1.642,1.6265,-0.2
23\09\1999,1.6454,1.6285,1.6465,1.6285,0.99
24\09\1999,1.6433,1.6448,1.6471,1.6386,-0.13
27\09\1999,1.6464,1.6401,1.6502,1.639,0.19
28\09\1999,1.6485,1.6456,1.6516,1.6433,0.13
29\09\1999,1.6443,1.6468,1.6492,1.639,-0.25
30\09\1999,1.6476,1.6435,1.6489,1.6428,0.2
01\10\1999,1.6543,1.6466,1.6569,1.6461,0.41
04\10\1999,1.6548,1.655,1.6604,1.6525,0.03
05\10\1999,1.656,1.6542,1.6583,1.649,0.07
06\10\1999,1.6563,1.6547,1.6593,1.6525,0.02
07\10\1999,1.6516,1.6559,1.6566,1.6482,-0.28
08\10\1999,1.6525,1.6512,1.6565,1.6468,0.05
11\10\1999,1.653,1.6505,1.6586,1.6492,0.03
12\10\1999,1.6574,1.6523,1.659,1.6502,0.27
13\10\1999,1.6551,1.6576,1.6598,1.6515,-0.14
14\10\1999,1.6625,1.6548,1.6667,1.652,0.45
15\10\1999,1.6689,1.6628,1.673,1.6607,0.38
18\10\1999,1.6692,1.6682,1.6732,1.6665,0.02
19\10\1999,1.6726,1.6683,1.675,1.6645,0.2
20\10\1999,1.6641,1.6716,1.6738,1.6612,-0.51
21\10\1999,1.675,1.664,1.6795,1.6635,0.66
22\10\1999,1.6548,1.6747,1.6798,1.6526,-1.21
25\10\1999,1.6624,1.6562,1.665,1.6542,0.46
26\10\1999,1.6525,1.6628,1.6648,1.6486,-0.6
27\10\1999,1.6481,1.6517,1.6587,1.6418,-0.27
28\10\1999,1.6394,1.6482,1.649,1.6344,-0.53
29\10\1999,1.6435,1.639,1.646,1.6324,0.25
01\11\1999,1.6423,1.6435,1.6499,1.6375,-0.07
02\11\1999,1.6453,1.6423,1.6497,1.6398,0.18
03\11\1999,1.643,1.6457,1.652,1.642,-0.14
04\11\1999,1.6225,1.6432,1.6475,1.6205,-1.25
05\11\1999,1.6194,1.622,1.6282,1.6142,-0.19
08\11\1999,1.6192,1.623,1.6251,1.6134,-0.01
09\11\1999,1.6237,1.6193,1.6256,1.6176,0.28
10\11\1999,1.6292,1.6232,1.6292,1.6188,0.34
